GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BlackLab,nl.inl.blacklab.forwardindex,ForwardIndexImplV3.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
BlackLab,nl.inl.blacklab.forwardindex,ForwardIndexImplV3.new AbstractSet() {...},48,0,4,0,5,0,7,0,5,0
BlackLab,nl.inl.blacklab.forwardindex,Collators,20,68,2,4,6,16,2,6,0,5
BlackLab,nl.inl.blacklab.forwardindex,TermsImplV3,540,1074,78,96,80,240,59,44,2,14
BlackLab,nl.inl.blacklab.forwardindex,Collators.new Object() {...},2,17,0,0,0,1,0,1,0,1
BlackLab,nl.inl.blacklab.forwardindex,ForwardIndex,226,68,31,10,35,15,25,5,4,3
BlackLab,nl.inl.blacklab.forwardindex,TocEntry,37,19,4,0,8,6,4,2,2,2
BlackLab,nl.inl.blacklab.forwardindex,ForwardIndex.CollatorVersion,5,33,0,0,0,3,1,3,1,3
BlackLab,nl.inl.blacklab.forwardindex,ForwardIndexImplV3.2.new Iterator() {...},93,0,12,0,18,0,11,0,5,0
BlackLab,nl.inl.blacklab.forwardindex,TermsImplV3.FirstAndNumber,0,9,0,0,0,4,0,1,0,1
BlackLab,nl.inl.blacklab.forwardindex,FiidLookup,37,137,2,14,8,32,2,9,0,3
BlackLab,nl.inl.blacklab.forwardindex,Terms,29,65,2,10,5,15,4,10,3,5
BlackLab,nl.inl.blacklab.forwardindex,TermsImplV3.new Comparator() {...},0,23,0,0,0,2,0,2,0,2
BlackLab,nl.inl.blacklab.forwardindex,ForwardIndexImplV3,448,1390,77,139,46,305,67,66,5,20
BlackLab,nl.inl.blacklab.indexers.preprocess,TagPluginDutchTagger,483,0,42,0,70,0,34,0,13,0
BlackLab,nl.inl.blacklab.indexers.preprocess,TagPluginNoop,28,0,0,0,13,0,9,0,9,0
BlackLab,nl.inl.blacklab.indexers.preprocess,Plugin.PluginException,16,0,0,0,8,0,4,0,4,0
BlackLab,nl.inl.blacklab.indexers.preprocess,ConvertPluginOpenConvert,503,0,34,0,69,0,33,0,16,0
BlackLab,nl.inl.blacklab.indexers.preprocess,DocIndexerConvertAndTag,318,0,24,0,54,0,30,0,18,0
BlackLab,nl.inl.blacklab.indexers,DocIndexerTeiPosInFunctionAttr,8,4,0,0,2,2,1,2,1,2
BlackLab,nl.inl.blacklab.indexers,DocIndexerWhiteLab2,218,4,0,0,37,2,2,2,2,2
BlackLab,nl.inl.blacklab.indexers,DocIndexerXmlSketch,75,4,0,0,13,2,1,2,1,2
BlackLab,nl.inl.blacklab.indexers,DocIndexerOpenSonar.new DocIndexerXmlHandlers.WordHandlerBase() {...},137,0,10,0,21,0,8,0,3,0
BlackLab,nl.inl.blacklab.indexers,DocIndexerOpenSonar.new HookableSaxHandler.ElementHandler() {...},64,0,18,0,10,0,11,0,2,0
BlackLab,nl.inl.blacklab.indexers,DocIndexerOpenSonar.new HookableSaxHandler.ElementHandler() {...},20,0,0,0,4,0,2,0,2,0
BlackLab,nl.inl.blacklab.indexers,DocIndexerOpenSonar.new HookableSaxHandler.ElementHandler() {...},20,0,0,0,4,0,2,0,2,0
BlackLab,nl.inl.blacklab.indexers,DocIndexerOpenSonar.new HookableSaxHandler.ContentCapturingHandler() {...},36,0,4,0,8,0,5,0,3,0
